職缺更新時間,職缺名稱,工作待遇,公司名稱,員工人數,工作經歷,擅長工具,產業類別,上班地點,工作待遇範圍,企業規模
10/23,行政管理單位 - 專案駐地土木監造工程師/主管-台南(馳諾瓦科技),40000,馳諾瓦科技股份有限公司,300,5年以上,不拘,其他電子零組件相關業,台南,"(30000, 40000]",大型企業
10/19,保障６萬、完備訓練、高獎金、普專｜住商師大永康加盟店,60000,住商不動產師大永康加盟店_賀誠國際開發有限公司,32,不拘,Excel、PowerPoint、Word、中文打字20~50,不動產經營業,雙北,"(50000, 60000]",小型企業
10/11,Java 工程師,35000,主向位科技股份有限公司,100,不拘,Java、MS SQL、Excel、Outlook、Word,通訊機械器材相關業,雙北,"(30000, 40000]",中型企業
10/12,Java 後端工程師,40000,必礦科技股份有限公司,150,不拘,Java,工商顧問服務業,雙北,"(30000, 40000]",中型企業
10/19,Java SW Engineer,40000,德義資訊股份有限公司,250,不拘,Java、Spring、Struts,電腦軟體服務業,雙北,"(30000, 40000]",大型企業
08/23,Java工程師,50000,環球數位金融科技有限公司,50,不拘,C++、Java、Spring、JavaScript,網際網路相關業,雙北,"(40000, 50000]",小型企業
10/02,JAVA軟體工程師,35000,松凌科技股份有限公司,60,不拘,Java、JSP、Struts、HTML、J2EE、JavaScript,電腦軟體服務業,雙北,"(30000, 40000]",中型企業
10/11,Java 工程師,75000,澄映科技有限公司,15,3年以上,Java、Python、Spring、MySQL,電腦軟體服務業,雙北,"(70000, 80000]",小型企業
10/25,Java軟體工程師,40000,裕隆集團_裕隆日產汽車股份有限公司,400,不拘,Java、Spring、Oracle、PL/SQL,汽車及其零件製造業,苗栗,"(30000, 40000]",大型企業
09/04,Java 工程師,35000,言某諮詢管理顧問有限公司,100,5年以上,Java、Spring、MS SQL、MySQL、Oracle、JavaScript,網際網路相關業,雙北,"(30000, 40000]",中型企業
10/18,Java 軟體工程師,30000,長佑科技股份有限公司,19,1年以上,Java,電腦軟體服務業,雙北,"(0, 30000]",小型企業
10/20,Backend Engineer (Java),80000,敏行科技有限公司,7,2年以上,Linux、Git、Java、JDBC、MySQL、PostgreSQL、HTTP,電腦軟體服務業,雙北,"(70000, 80000]",小型企業
10/01,Java工程師-金融,40000,伊普資訊股份有限公司,10,3年以上,Git、AJAX、Java、Spring、HTML、JavaScript、jQuery、CSS,電腦軟體服務業,雙北,"(30000, 40000]",小型企業
10/16,java Web工程師,60000,雅典娜廣告有限公司,10,2年以上,Java、JSP、MySQL、Oracle、HTML,廣告行銷公關業,台中,"(50000, 60000]",小型企業
10/16,Java 工程師,38000,承暉資訊整合股份有限公司,28,1年以上,Git、Java、Spring、MS SQL、MySQL、Oracle、Tomcat、WebLogic,電腦系統整合服務業,雙北,"(30000, 40000]",小型企業
10/18,勞工安全衛生管理人員,33000,易大科技股份有限公司,30,1年以上,Adobe Acrobat、Excel、Internet Explorer、PowerPoint、Word,其它軟體及網路相關業,彰化,"(30000, 40000]",小型企業
10/20,Java程式設計師,40000,時現資訊服務股份有限公司,30,2年以上,Java、JavaScript、jQuery,電腦系統整合服務業,雙北,"(30000, 40000]",小型企業
10/24,JR101618 Java程式培訓設計師(營運系統),40000,中國人壽保險股份有限公司(總公司),13539,1年以上,Java,人身保險業,雙北,"(30000, 40000]",大型企業
10/24,Java工程師,75000,恒達科有限公司,350,2年以上,Java、Spring、MySQL,電腦軟體服務業,雙北,"(70000, 80000]",大型企業
10/04,Java 工程師,40000,達暉資訊有限公司,50,1年以上,Java、Spring,電腦系統整合服務業,雙北,"(30000, 40000]",小型企業
10/20,JAVA後端工程師,40000,柳吟文教事業股份有限公司,150,2年以上,Git、Java、Spring、JDBC、MySQL,補習班,雙北,"(30000, 40000]",中型企業
08/07,JAVA Engineer,40000,iStaging愛實境_愛實境股份有限公司,60,2年以上,Java、Spring、MySQL、JavaScript,其它軟體及網路相關業,雙北,"(30000, 40000]",中型企業
10/24,Senior Java Developer / 資深 Java 工程師,66666,雷技資訊科技有限公司,25,3年以上,Linux、Java、MySQL,網際網路相關業,雙北,"(60000, 70000]",小型企業
10/11,(Java SA)  Java SA  軟體工程師,70000,華威數位財金科技股份有限公司,100,1年以上,Java、MS SQL、HTML、JavaScript、jQuery,電腦軟體服務業,雙北,"(60000, 70000]",中型企業
10/24,F0038 - Cloud Software Developer (Java),40000,優比快股份有限公司,300,不拘,Java、AWS,電子通訊／電腦週邊批發業,雙北,"(30000, 40000]",大型企業
10/25,Java工程師,40000,美好購物ViVa TV_ 美好家庭購物股份有限公司,400,3年以上,Java,百貨相關業,雙北,"(30000, 40000]",大型企業
10/04,Java工程師,40000,Ragic_立即科技有限公司,50,不拘,Java,網際網路相關業,雙北,"(30000, 40000]",小型企業
10/23,遠傳friDay購物 - Java工程師,40000,friDay購物_遠時數位科技股份有限公司,120,3年以上,OOAD、Git、Java、Spring、ANSI SQL,其它軟體及網路相關業,雙北,"(30000, 40000]",中型企業
10/25,Senior Backend Java Developer - Advanced Billing System Solutions,80000,台灣資信股份有限公司,250,3年以上,Java,電腦軟體服務業,雙北,"(70000, 80000]",大型企業
09/14,Java初階工程師(內湖),30000,越世實業股份有限公司,60,不拘,AJAX、Java、Spring、HTML、JavaScript、jQuery、CSS,其它軟體及網路相關業,雙北,"(0, 30000]",中型企業
10/24,JAVA程式設計師-AP1,40000,探網科技股份有限公司,65,1年以上,Servlets、Java、JSP、Spring、HTML、J2EE、JavaScript,電腦軟體服務業,雙北,"(30000, 40000]",中型企業
09/29,[正職]生產技術員(新竹廠)-留任獎金2萬、年終2-3個月、免輪班,32000,台光電子材料股份有限公司,3300,不拘,不拘,印刷電路板製造業(PCB),新竹,"(30000, 40000]",大型企業
10/20,新店裕隆城 B1【CONA'S 】妮娜巧克力門市銷售員 (正櫃),34000,妮娜巧克力觀光工廠_妮娜有限公司,60,1年以上,Excel、Word,餐館業,雙北,"(30000, 40000]",中型企業
10/19,java程式設計師,40000,伊普資訊股份有限公司,10,2年以上,Git、Java、JSP、Spring、Struts、MS SQL、MySQL、VueJS,電腦軟體服務業,雙北,"(30000, 40000]",小型企業
10/26,Java 軟體工程師,35000,英科資訊科技股份有限公司,20,不拘,Java、MySQL、HTML、JavaScript、CSS,網際網路相關業,雙北,"(30000, 40000]",小型企業
10/08,創新科技部 JAVA工程師,40000,華泰大飯店企業股份有限公司,700,1年以上,Java,旅館業,雙北,"(30000, 40000]",大型企業
10/23,Java系統軟體工程師,40000,台北數位集團_台北數位廣告股份有限公司,200,1年以上,Java、MySQL、JavaScript,多媒體相關業,雙北,"(30000, 40000]",中型企業
10/18,MoneyMaster | Java軟體工程師 Java Web Engineer,40000,錢管家數位科技股份有限公司,10,不拘,Linux、Git、Java、Spring、MS SQL、JavaScript,電腦軟體服務業,雙北,"(30000, 40000]",小型企業
10/20,資深 Java 系統工程師,40000,艾帝浦杰股份有限公司,60,2年以上,Java、JavaScript,電腦軟體服務業,雙北,"(30000, 40000]",中型企業
10/24,Java 後端工程師 Java Backend Engineer [rezio],62500,酷遊天股份有限公司,900,其他,Java、Spring,旅遊服務業,雙北,"(60000, 70000]",大型企業
10/19,Back-End Engineer (後端JAVA工程師),38000,科智企業股份有限公司,18,不拘,Java,電腦軟體服務業,雙北,"(30000, 40000]",小型企業
10/18,Java專案工程師（中山區，捷運站步行６分鐘）,55000,仁維軟體科技有限公司,35,其他,Git、Java、Spring、DB2、Oracle、HTML、J2EE、JavaScript、jQuery、CSS,電腦系統整合服務業,雙北,"(50000, 60000]",小型企業
10/25,【誠品線上】Java工程師,40000,誠品生活股份有限公司,900,2年以上,Github、Git、Java、Spring、PostgreSQL、HTML、JavaScript、jQuery,百貨相關業,雙北,"(30000, 40000]",大型企業
10/11,JAVA軟體工程師,50000,運籌網通股份有限公司,41,2年以上,AJAX、Java、JSP、Spring、Struts、Oracle、EJB、J2EE、JavaScript、jQuery,電腦軟體服務業,桃園,"(40000, 50000]",小型企業
10/11,Java 資深工程師,40000,達暉資訊有限公司,50,3年以上,Java、Spring、Struts、JavaScript、jQuery,電腦系統整合服務業,雙北,"(30000, 40000]",小型企業
10/04,Java工程師,40000,翰霖科技資訊股份有限公司,100,不拘,Java、Spring、Struts、JavaScript、jQuery、Node.js,電腦軟體服務業,雙北,"(30000, 40000]",中型企業
10/26,【中壢過嶺】工程開發一部 設備機構工程師,40000,宏致電子股份有限公司,7000,2年以上,Excel、PowerPoint、Word、AutoCAD、SolidWorks,其他電子零組件相關業,桃園,"(30000, 40000]",大型企業
10/27,短影片剪輯攝影師,30000,摩鐵汽車有限公司,20,不拘,不拘,汽機車維修業,桃園,"(0, 30000]",小型企業
09/25,Senior Java 工程師,80000,格拉墨科技有限公司,40,3年以上,Java、Spring、MySQL,電腦軟體服務業,雙北,"(70000, 80000]",小型企業
10/25,Java engineer,50000,新堡科技股份有限公司,40,3年以上,UML、Git、Java、Spring、PostgreSQL、JavaScript、Node.js、VueJS,電腦系統整合服務業,雙北,"(40000, 50000]",小型企業
10/19,知名上市公司Java Engineer[後端工程師],50000,台灣利優資訊科技有限公司,21000,2年以上,Java、Spring、MySQL、HTML、JavaScript、jQuery、CSS,人力派遣服務,雙北,"(40000, 50000]",大型企業
10/20,Java 培訓工程師,32000,華擎軟體科技有限公司,40,不拘,Java,電腦系統整合服務業,雙北,"(30000, 40000]",小型企業
10/06,Java 工程師,35000,凌發科技有限公司,90,1年以上,Java、Spring、MySQL、J2EE,其它軟體及網路相關業,台中,"(30000, 40000]",中型企業
09/30,Sr. Java Backend Engineer,83333,邁得弗科技有限公司,60,3年以上,Java、Spring、MS SQL、MySQL,網際網路相關業,雙北,"(80000, 90000]",中型企業
10/21,JAVA工程師,30000,東雷科技股份有限公司,25,2年以上,AJAX、Java、JSP、Spring、jQuery、HTTP,電腦軟體服務業,雙北,"(0, 30000]",小型企業
10/19,Java系統開發工程師(數位科技處),40000,全球人壽保險股份有限公司_總公司,6000,不拘,Java、Excel、Outlook、PowerPoint、Word,人身保險業,雙北,"(30000, 40000]",大型企業
10/11,Java Spring資深後端工程師,83333,天空八八科技有限公司,30,5年以上,Linux、Github、Java、Spring、MySQL、JavaScript、HTTP,電腦軟體服務業,雙北,"(80000, 90000]",小型企業
10/16,軟體工程師(Java),40000,科萊博瑞科技有限公司,140,2年以上,Linux、Java、MS SQL,電腦軟體服務業,雙北,"(30000, 40000]",中型企業
10/18,Java 工程師 - 帳務系統,40000,炎磊科技有限公司,50,3年以上,Java,工商顧問服務業,雙北,"(30000, 40000]",小型企業
10/20,初階後端工程師(Java),40000,盛威資訊服務股份有限公司,100,不拘,Java、Spring、MySQL、PostgreSQL、HTML、JavaScript、jQuery、CSS,電腦軟體服務業,雙北,"(30000, 40000]",中型企業
10/25,資深JAVA軟體工程師,40000,聖勝科技有限公司,70,3年以上,Java、Spring、Oracle、RDBMS、Junit,其它軟體及網路相關業,雙北,"(30000, 40000]",中型企業
10/18,Java 工程師 (台中),40000,達暉資訊有限公司,50,3年以上,Java、Spring,電腦系統整合服務業,台中,"(30000, 40000]",小型企業
10/06,Java程式設計師（R3）,40000,資通電腦股份有限公司,300,不拘,Java、Struts、MS SQL、Oracle、JavaScript、Node.js、AngularJS,電腦軟體服務業,雙北,"(30000, 40000]",大型企業
08/09,Backend Java Developer,40000,CATCHPLAY_英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,150,2年以上,Git、Java、Spring、MySQL、RDBMS,網際網路相關業,雙北,"(30000, 40000]",中型企業
10/24,【營運儲備幹部】桃園市大園區(桃園機場),33000,摩斯漢堡_安心食品服務股份有限公司,5800,不拘,不拘,其他餐飲業,桃園,"(30000, 40000]",大型企業
10/24,生產線組長（日夜輪調）,34600,漢磊科技股份有限公司,900,3年以上,Excel、PowerPoint、Word,半導體製造業,新竹,"(30000, 40000]",大型企業
10/12,Jr. Java Web Engineer,30000,德義資訊股份有限公司,250,不拘,Java、JSF、JSP、JDBC、Oracle、PL/SQL、J2EE、JavaScript、XML、jQuery,電腦軟體服務業,雙北,"(0, 30000]",大型企業
10/02,後端工程師/JAVA,40000,博斯資訊安全股份有限公司,25,3年以上,Linux、Java、Spring、JavaScript,電腦軟體服務業,雙北,"(30000, 40000]",小型企業
10/19,JAVA 軟體設計工程師 (龍潭渴望園區),40000,天來數位股份有限公司,15,不拘,Java、Spring、MySQL、Oracle、HTML、JavaScript、jQuery、CSS、Node.js,電腦系統整合服務業,桃園,"(30000, 40000]",小型企業
10/26,JAVA Backend Developer,40000,勝和科技有限公司,50,3年以上,Java,電腦軟體服務業,雙北,"(30000, 40000]",小型企業
10/12,Java J2EE 軟體工程師,50000,德義資訊股份有限公司,250,1年以上,Java、JSP、Spring、Struts、HTML、J2EE、JavaScript,電腦軟體服務業,雙北,"(40000, 50000]",大型企業
10/12,Java 軟體工程師,40000,奧米科技有限公司,30,1年以上,Servlets、AJAX、Java、JSP、Spring、Struts、HTML、JavaScript、jQuery、CSS,電腦軟體服務業,雙北,"(30000, 40000]",小型企業
10/02,Java開發工程師,40000,安達國際人壽保險股份有限公司,1100,3年以上,Java、Oracle、PL/SQL、JavaScript,人身保險業,雙北,"(30000, 40000]",大型企業
09/26,Java工程師,35000,越世資安股份有限公司,16,不拘,Servlets、Git、Java、Spring、Struts、MS SQL、MySQL、Oracle、HTML、J2EE、J2SE、JavaScript、jQuery,其它軟體及網路相關業,雙北,"(30000, 40000]",小型企業
10/23,資深Java工程師,40000,創樂科技有限公司,80,5年以上,Git、Java、Spring、MySQL、AWS,電信相關業,雙北,"(30000, 40000]",中型企業
10/20,JAVA程式開發人員,40000,三井住友海上集團_明台產物保險股份有限公司_數位暨資訊科技處,1300,2年以上,Java,產物保險業,雙北,"(30000, 40000]",大型企業
10/20,Senior Backend Engineer (Java),100000,敏行科技有限公司,7,3年以上,Linux、Jenkins、Git、Java、JDBC、MySQL、PostgreSQL、AWS、HTTP,電腦軟體服務業,雙北,"(90000, 100000]",小型企業
10/25,Java開發工程師,66666,誠帷數位科技有限公司,20,3年以上,Java、Python、Spring、MySQL,網際網路相關業,雙北,"(60000, 70000]",小型企業
10/09,Senior Java Developer (Fully Remote),125000,"RiskVal Financial Solutions, LLC_愛科國際管理顧問有限公司",30,不拘,OOP、Java、MS SQL,電腦軟體服務業,雙北,"(100000, 200000]",小型企業
09/26,JAVA工程師,40000,昕傳科技股份有限公司,40,2年以上,Java,電腦軟體服務業,雙北,"(30000, 40000]",小型企業
10/18,【研究發展處】Java Engineer/Java 軟體工程師,40000,現觀科技股份有限公司,120,不拘,Linux、Java,電腦軟體服務業,雙北,"(30000, 40000]",中型企業
10/18,Java 軟體工程師,40000,自然互動科技股份有限公司,33,不拘,Java、JSP、Spring、JDBC、MySQL、Oracle、Tomcat、HTML、J2EE、JavaScript、jQuery,電腦軟體服務業,雙北,"(30000, 40000]",小型企業
09/15,JAVA軟體工程師,40000,經貿聯網科技股份有限公司,150,不拘,Java、JSP、Spring、MS SQL、Oracle、AWS、HTML、JavaScript、CSS,網際網路相關業,雙北,"(30000, 40000]",中型企業
10/20,Java程式設計師,39000,直通國際股份有限公司,140,不拘,Git、Java、Spring、HTML、JavaScript、jQuery,其它軟體及網路相關業,雙北,"(30000, 40000]",中型企業
08/26,JAVA後端工程師,35000,羲奕研策股份有限公司,30,1年以上,Git、Java、Spring、MySQL,多媒體相關業,台中,"(30000, 40000]",小型企業
10/20,Java軟體工程師(台北),36000,景佳科技有限公司,40,不拘,Linux、Servlets、Java、JSP、J2EE、JavaScript、jQuery、CSS,電腦軟體服務業,雙北,"(30000, 40000]",小型企業
10/18,JAVA軟體工程師,45000,億力資訊股份有限公司,180,2年以上,AJAX、Java、Spring、HTML、JavaScript、jQuery、CSS、VueJS、Angular,電腦軟體服務業,雙北,"(40000, 50000]",中型企業
10/26,培訓軟體工程師(Java),30000,一騰資訊服務股份有限公司,60,不拘,Java、Python、MS SQL、JavaScript,電腦軟體服務業,雙北,"(0, 30000]",中型企業
10/26,java 軟體工程師,75000,偉盛資訊股份有限公司,15,2年以上,不拘,電腦軟體服務業,雙北,"(70000, 80000]",小型企業
10/12,Java工程師,70000,奕特資訊有限公司,90,2年以上,Java、Spring、MySQL,電腦軟體服務業,雙北,"(60000, 70000]",中型企業
10/03,Java軟體工程師,40000,梅科科技股份有限公司,30,不拘,Java,網際網路相關業,雙北,"(30000, 40000]",小型企業
10/24,【資訊科技】Bankee-Java程式設計師(後端),40000,遠東國際商業銀行股份有限公司,2511,3年以上,Git、Java,銀行業,雙北,"(30000, 40000]",大型企業
10/25,R008RGS_JAVA工程師,40000,神通資訊科技股份有限公司,1000,不拘,不拘,電腦系統整合服務業,雙北,"(30000, 40000]",大型企業
10/11,【113年研發替代役】Java J2EE 軟體工程師,40000,德義資訊股份有限公司,250,1年以上,Java、JSP、Spring、Struts、HTML、J2EE、JavaScript,電腦軟體服務業,雙北,"(30000, 40000]",大型企業
09/06,Software Engineer (Java Developer),40000,愛德萬測試股份有限公司,330,2年以上,Git、ASP.NET、Java、MS SQL、Oracle、HTML、JavaScript、Excel、Power BI​、Oracle ERP,半導體製造業,新竹,"(30000, 40000]",大型企業
10/20,Java 副工程師（配合政府就業旗艦計畫）,36000,華擎軟體科技有限公司,40,不拘,Java,電腦系統整合服務業,雙北,"(30000, 40000]",小型企業
10/12,Java工程師 (Junior),55000,奕特資訊有限公司,90,不拘,Java、Spring、MySQL,電腦軟體服務業,雙北,"(50000, 60000]",中型企業
10/24,JAVA - 工程師,40000,汎神國際有限公司,20,2年以上,Linux、Git、Java、Spring、Struts、HTML、JavaScript、VueJS,電腦系統整合服務業,雙北,"(30000, 40000]",小型企業
10/26,資深JAVA程式設計師,40000,中國人壽保險股份有限公司(總公司),13539,5年以上,不拘,人身保險業,雙北,"(30000, 40000]",大型企業
03/29,JAVA軟體工程師,30000,普頓數位科技有限公司,220,不拘,Java,其他機械製造修配業,雙北,"(0, 30000]",中型企業
10/09,《數位開發》資深Java後端開發工程師,55000,裕隆集團_格上汽車租賃股份有限公司,650,3年以上,Java,運輸工具設備租賃業,雙北,"(50000, 60000]",大型企業
10/24,Java程式設計師-電商領域 (TCD22),40000,資拓宏宇國際股份有限公司,1500,1年以上,Linux、Java、MySQL、Oracle,電腦軟體服務業,雙北,"(30000, 40000]",大型企業
10/13,【PayEasy】JAVA程式設計師_1997,40000,PayEasy_康迅數位整合股份有限公司,110,1年以上,Java、Spring、JavaScript、jQuery、CSS,網際網路相關業,雙北,"(30000, 40000]",中型企業
10/20,Java工程師-台北,40000,凌網科技股份有限公司,350,3年以上,Linux、Java、MS SQL、MySQL、Oracle、JavaScript,電腦系統整合服務業,雙北,"(30000, 40000]",大型企業
10/19,JAVA 軟體工程師(新莊全日),40000,全日物流股份有限公司,300,不拘,Java,儲配／運輸物流業,雙北,"(30000, 40000]",大型企業
10/15,後端JAVA工程師,50000,萬通國際資訊有限公司,10,2年以上,Java、MySQL、HTML、JavaScript、jQuery,電腦軟體服務業,雙北,"(40000, 50000]",小型企業
10/06,Java軟體設計工程師(高雄),32000,晶茂資訊科技股份有限公司,50,1年以上,Java、JSP、HTML、JavaScript、jQuery、CSS,電腦軟體服務業,高雄,"(30000, 40000]",小型企業
10/18,Java程式設計師(台北/新北),40000,前進國際股份有限公司,80,2年以上,Java、Spring、Struts、MS SQL、Oracle、JavaScript、jQuery,電腦軟體服務業,雙北,"(30000, 40000]",中型企業
09/26,資深Java 工程師 Senior Java Developer,60000,賽鐸股份有限公司,25,2年以上,Linux、Java、Spring、MySQL、HTML、JavaScript、CSS,其它軟體及網路相關業,台中,"(50000, 60000]",小型企業
10/04,Java資深工程師,40000,越世實業股份有限公司,60,不拘,Servlets、AJAX、Java、Spring、Struts、HTML、J2EE、J2SE、JavaScript、jQuery、SOAP,其它軟體及網路相關業,雙北,"(30000, 40000]",中型企業
10/25,JAVA軟體工程師,40000,裕融企業股份有限公司,700,2年以上,AJAX、Java、JSP、Spring、JavaScript、jQuery,其他汽機車相關業,雙北,"(30000, 40000]",大型企業
10/11,Java軟體工程師,40000,碩網資訊股份有限公司,130,不拘,Java、MS SQL、HTML、J2EE,網際網路相關業,雙北,"(30000, 40000]",中型企業
10/20,Java 副工程師,36000,華擎軟體科技有限公司,40,不拘,Java,電腦系統整合服務業,雙北,"(30000, 40000]",小型企業
10/11,JAVA程式設計師,32000,聯邦商業銀行股份有限公司,3900,不拘,不拘,銀行業,雙北,"(30000, 40000]",大型企業
10/02,"[IOT] 軟體 工程師 (Java, Python, LabVIEW) - 台北或新竹",40000,動力安全資訊股份有限公司,300,不拘,Linux、Android、iOS、Java、LabVIEW,電腦系統整合服務業,雙北,"(30000, 40000]",大型企業
10/24,Java /Golang 後端工程師 Back-end Engineer,40000,蓋亞資訊有限公司,100,3年以上,Java、MS SQL、PostgreSQL,電腦軟體服務業,雙北,"(30000, 40000]",中型企業
10/02,【企業系統部】JAVA工程師-台中,40000,錠嵂保險經紀人股份有限公司,2220,2年以上,Java、JSP、PL/SQL,人身保險業,台中,"(30000, 40000]",大型企業
09/19,Junior JAVA工程師,40000,經貿聯網科技股份有限公司,150,不拘,Java,網際網路相關業,雙北,"(30000, 40000]",中型企業
10/26,Java 全端軟體工程師,40000,網飛訊科技股份有限公司,30,3年以上,Java、Spring、MS SQL、Oracle、VueJS,電腦軟體服務業,雙北,"(30000, 40000]",小型企業
10/18,JAVA程式設計師,40000,特力集團_特力股份有限公司,1000,不拘,Java,綜合商品批發代理業,雙北,"(30000, 40000]",大型企業
10/28,Java程式設計師,40000,新加坡商認和科技有限公司台灣分公司,6,2年以上,Linux、Java、Spring、MySQL、Oracle,電腦軟體服務業,雙北,"(30000, 40000]",小型企業
10/25,【2023年度擴大徵才】Java軟體技術工程師 【OS】,40000,普鴻資訊股份有限公司,210,2年以上,Git、Java、JSP、Spring、Struts、MS SQL、MySQL、Oracle、ActiveX、HTML、J2EE、JavaScript、jQuery、CSS、VueJS、Angular,電腦軟體服務業,雙北,"(30000, 40000]",中型企業
10/19,Java 軟體工程師 | Fintech,70833,一通數位有限公司,25,2年以上,Linux、Jenkins、Java、Spring,電腦軟體服務業,雙北,"(70000, 80000]",小型企業
09/14,java 程式設計師,28000,商智資訊股份有限公司,90,1年以上,Java、JSP、Spring,電腦軟體服務業,雙北,"(0, 30000]",中型企業
10/17,Java軟體工程師,40000,復騰顧問有限公司,25,3年以上,Git、Java、Spring、JavaScript,其它軟體及網路相關業,雙北,"(30000, 40000]",小型企業
10/25,〔資訊〕Java 程式設計師 (法金系統),40000,台新金控_台新國際商業銀行股份有限公司,10000,1年以上,Java,銀行業,雙北,"(30000, 40000]",大型企業
10/03,(Java)  Java  軟體工程師,35000,華威數位財金科技股份有限公司,100,不拘,Java、MS SQL、HTML、JavaScript、jQuery,電腦軟體服務業,雙北,"(30000, 40000]",中型企業
09/25,【視訊面試】Java工程師,40000,宏益科技服務股份有限公司,60,2年以上,Java、Spring、Oracle,電腦軟體服務業,雙北,"(30000, 40000]",中型企業
10/20,Java Spring後端/資深後端工程師 Java Spring Sr.Backend Programmer,40000,Shoalter Technology Ltd. (Member of HKTV Grp.) _英屬維京群島商易貿創投有限公司台灣分公司,130,2年以上,Java、Spring、MySQL、JavaScript,其它軟體及網路相關業,雙北,"(30000, 40000]",中型企業
10/18,JSP JAVA 前後端程式設計師(台北),40000,Atos_台灣源訊科技股份有限公司,150,2年以上,AJAX、Java、JSP、Spring、JavaScript、jQuery,電腦系統整合服務業,雙北,"(30000, 40000]",中型企業
10/27,JAVA程式設計師2,40000,第一產物保險股份有限公司,800,3年以上,Linux、Java、JSP、Spring、Struts、Oracle、HTML、JavaScript、jQuery、ReactJS、Excel,產物保險業,雙北,"(30000, 40000]",大型企業
10/18,JR202304015_IT Java 高級工程師 - 內湖,40000,Advantech_研華股份有限公司,9430,不拘,Java、Spring、MS SQL,電腦系統整合服務業,雙北,"(30000, 40000]",大型企業
10/06,金控業中級Java工程師,50000,仁維軟體科技有限公司,35,3年以上,Git、Java、Spring、DB2、Oracle、J2EE、JavaScript、jQuery,電腦系統整合服務業,雙北,"(40000, 50000]",小型企業
09/14,【數位文創-資訊服務部】網站JAVA工程師,40000,聯合數位文創股份有限公司,145,1年以上,AJAX、Java、jQuery,藝文服務業,雙北,"(30000, 40000]",中型企業
10/19,Java程式設計師,40000,天晴資訊有限公司,15,不拘,不拘,其它軟體及網路相關業,雙北,"(30000, 40000]",小型企業
10/11,【台北總部】eHRD事業群_金融暨服務事業處_後端工程師(JAVA),32000,旭聯科技股份有限公司,170,不拘,Java,網際網路相關業,雙北,"(30000, 40000]",中型企業
09/15,Java後端工程師,40000,口袋證券股份有限公司,94,2年以上,Java、JSP、Spring、MS SQL、JavaScript、HTTP、Socket,證券及期貨業,雙北,"(30000, 40000]",中型企業
10/02,Senior Android Java Developer,40000,群傳媒股份有限公司,45,3年以上,Android、Java、Kotlin、HTML、JavaScript、CSS,網際網路相關業,雙北,"(30000, 40000]",小型企業
10/04,Java 系統架構師,50000,瑪亞資訊科技有限公司,60,不拘,Linux、Git、Java、JSP、Spring、Struts、JDBC、Oracle、Tomcat、HTML、J2EE、JavaScript、jQuery、CSS、VueJS、Angular,電腦軟體服務業,高雄,"(40000, 50000]",中型企業
10/23,Java 工程師 (台北),40000,廣晉軟體股份有限公司,60,2年以上,Java、Spring、HTML、JavaScript、jQuery,電腦系統整合服務業,雙北,"(30000, 40000]",中型企業
08/25,JAVA 程式設計師,40000,志弘資訊股份有限公司,20,不拘,AJAX、Java、JSP、Data Modeling、JDBC、MySQL、ODBC、Oracle、PL/SQL、RDBMS、Tomcat、EJB、JavaScript、XML Web services、CSS,電腦軟體服務業,雙北,"(30000, 40000]",小型企業
10/24,Java/PHP軟體工程師(後端),40000,雲想科技股份有限公司,22,2年以上,AJAX、Java、PHP、Spring、MS SQL、MySQL、Angular,電腦系統整合服務業,台中,"(30000, 40000]",小型企業
10/18,D4000 網站開發工程師(Java) 【台中】,40000,富邦媒體科技股份有限公司(富邦momo),2900,1年以上,Java、Spring、HTML、JavaScript,百貨相關業,雙北,"(30000, 40000]",大型企業
10/20,EIS | (年度擴編) | Java Engineer 後端工程師,40000,殷富資訊股份有限公司,95,2年以上,Java、Spring、Oracle、PostgreSQL、HTML、JavaScript、CSS,電腦及其週邊設備製造業,雙北,"(30000, 40000]",中型企業
10/26,.Net / Java Developers (銀行) - FP08TICT,40000,Tata Consultancy Services Limited Taiwan Branch_印度商塔塔顧問服務有限公司台灣分公司,250,1年以上,Jenkins、ASP.NET、Java、MS SQL、MySQL、Oracle、HTML、CSS,電腦軟體服務業,雙北,"(30000, 40000]",大型企業
09/26,Java (Springboot Framework) Developer,60000,艾福提資訊有限公司,25000,不拘,Linux、Java、MySQL、PostgreSQL、HTML、JavaScript、CSS,電腦軟體服務業,雙北,"(50000, 60000]",大型企業
09/27,資深Java 程式設計師 / 系統分析師,40000,艾帝浦杰股份有限公司,60,3年以上,不拘,電腦軟體服務業,桃園,"(30000, 40000]",中型企業
10/26,Senior Full Stack Java Developer 資深全端工程師 (外商零售) - TP09CH,40000,Tata Consultancy Services Limited Taiwan Branch_印度商塔塔顧問服務有限公司台灣分公司,250,5年以上,Java、Spring、ReactJS、Junit,電腦軟體服務業,雙北,"(30000, 40000]",大型企業
10/25,Java工程師(G),33000,關貿網路股份有限公司,670,不拘,不拘,電腦系統整合服務業,雙北,"(30000, 40000]",大型企業
10/26,Java軟體工程師(高雄),32000,雲端達人科技股份有限公司,70,不拘,Java、Spring,電腦軟體服務業,高雄,"(30000, 40000]",中型企業
