職缺更新時間,職缺名稱,工作待遇,公司名稱,員工人數,工作經歷,擅長工具,產業類別,上班地點,工作待遇範圍,企業規模
09/25,Java 後端工程師,40000,聯經數位股份有限公司,72,1年以上,Git、MS SQL、MySQL、HTML、JavaScript、CSS,電腦系統整合服務業,雙北,"(30000, 40000]",中型企業
10/24,【日本東京】Java系統軟體工程師招募（赴日本工作/線上面試/在台可應徵）,40000,株式会社シエス情報,60,不拘,Linux、C#、C++、Java、PHP、Python、MS SQL、MySQL、HTML、JavaScript、CSS,電腦系統整合服務業,台東,"(30000, 40000]",中型企業
10/02,Java資深後端工程師(台中),70833,德安資訊股份有限公司,90,5年以上,C#、Java、Spring,電腦系統整合服務業,台中,"(70000, 80000]",中型企業
10/12,Java程式設計師(21091301),40000,叡揚資訊股份有限公司,700,1年以上,Linux、Windows Server 2008、Windows Server 2012、Windows Server 2019、Java、MS SQL、MySQL、JavaScript,電腦軟體服務業,雙北,"(30000, 40000]",大型企業
10/26,軟體開發工程師,40000,宇祥股份有限公司,20,1年以上,ASP.NET、Java、Visual Basic .net、Visual C++、Oracle、JavaScript,電腦軟體服務業,雙北,"(30000, 40000]",小型企業
10/25,資深雲端工程師,65000,迪梯西數位科技有限公司,25,5年以上,Git、Java、Spring、PostgreSQL,電腦軟體服務業,雙北,"(60000, 70000]",小型企業
10/27,(全端)軟體工程師(工作地點：台南),38000,漢龍資訊科技股份有限公司,60,不拘,Git、AJAX、ASP.NET、C#、Fox Pro、Java、JSP、Visual Studio .net、MS SQL、Oracle、HTML、JavaScript、jQuery、CSS,網際網路相關業,台南,"(30000, 40000]",中型企業
10/16,JAVA軟體工程師(資訊服務事業處-BJ1),38000,瑞思登科技股份有限公司,70,2年以上,Java、JSP、Spring、MySQL、Oracle、Tomcat、HTML、JavaScript、jQuery,電腦軟體服務業,雙北,"(30000, 40000]",中型企業
10/25,JAVA 資深後端工程師 ｜Senior Backend Engineer,83333,全通路科技有限公司,71,3年以上,Java、Spring、MySQL、AWS、JavaScript,電腦軟體服務業,雙北,"(80000, 90000]",中型企業
10/11,JAVA程式設計師(專案-非駐點),40000,前進國際股份有限公司,80,2年以上,不拘,電腦軟體服務業,雙北,"(30000, 40000]",中型企業
10/02,智慧零售軟體設計工程師(新竹),40000,天來數位股份有限公司,15,不拘,Java、MS SQL、MySQL、HTML、AngularJS、VueJS,電腦系統整合服務業,新竹,"(30000, 40000]",小型企業
10/12,Java工程師(電信業),40000,康翔科技股份有限公司,30,3年以上,不拘,其它軟體及網路相關業,雙北,"(30000, 40000]",小型企業
10/11,【海外】資訊部經理,40000,久鼎金屬實業股份有限公司,600,其他,C#、Java,自行車及其零件製造業,其他,"(30000, 40000]",大型企業
10/18,D4000 JAVA應用開發工程師(搜尋/推薦) 【台北】,40000,富邦媒體科技股份有限公司(富邦momo),2900,1年以上,不拘,百貨相關業,雙北,"(30000, 40000]",大型企業
10/23,軟體工程師,40000,佑康股份有限公司,35,5年以上,Java、MySQL、JavaScript、jQuery,醫療器材製造業,雙北,"(30000, 40000]",小型企業
