職缺更新時間,職缺名稱,工作待遇,公司名稱,員工人數,工作經歷,擅長工具,產業類別,上班地點
10/26更新,"【高薪禮聘】Senior Java Developer - 資深軟體研發工程師",待遇面議,群和軟體有限公司,暫不提供,3年以上,AJAX、Java、Spring、Tomcat、JavaScript,電腦軟體服務業,雙北
10/18更新,"【擴編徵才】資深-JAVA 後端軟體工程師","月薪100,000元以上",聯訊網路有限公司,暫不提供,3年以上,OOP、Java、JDBC、Oracle,電腦軟體服務業,台中
10/11更新,"(Java SA)  Java SA  軟體工程師","月薪70,000~100,000元",華威數位財金科技股份有限公司,100人,1年以上,"Java、MS SQL、HTML、JavaScript、jQuery",電腦軟體服務業,雙北
10/24更新,"F0038 - Cloud Software Developer (Java)",待遇面議,優比快股份有限公司,300人,不拘,Java、AWS,電子通訊／電腦週邊批發業,雙北
10/25更新,Java工程師,待遇面議,"美好購物ViVa TV_ 美好家庭購物股份有限公司",400人,3年以上,Java,百貨相關業,雙北
10/04更新,Java工程師,待遇面議,Ragic_立即科技有限公司,50人,不拘,Java,網際網路相關業,雙北
10/23更新,"遠傳friDay購物 - Java工程師",待遇面議,friDay購物_遠時數位科技股份有限公司,120人,3年以上,"OOAD、Git、Java、Spring、ANSI SQL",其它軟體及網路相關業,雙北
10/25更新,"Senior Backend Java Developer - Advanced Billing System Solutions","月薪80,000元以上",台灣資信股份有限公司,250人,3年以上,Java,電腦軟體服務業,雙北
09/14更新,Java初階工程師(內湖),"月薪30,000~60,000元",越世實業股份有限公司,60人,不拘,AJAX、Java、Spring、HTML、JavaScript、jQuery、CSS,其它軟體及網路相關業,雙北
10/24更新,JAVA程式設計師-AP1,待遇面議,探網科技股份有限公司,65人,1年以上,Servlets、Java、JSP、Spring、HTML、J2EE、JavaScript,電腦軟體服務業,雙北
09/29更新,[正職]生產技術員(新竹廠)-留任獎金2萬、年終2-3個月、免輪班,"月薪32,000~52,000元",台光電子材料股份有限公司,3300人,不拘,不拘,印刷電路板製造業(PCB),新竹
10/20更新,"新店裕隆城 B1【CONA'S 】妮娜巧克力門市銷售員 (正櫃)","月薪34,000~36,000元",妮娜巧克力觀光工廠_妮娜有限公司,60人,1年以上,Excel、Word,餐館業,雙北
10/19更新,java程式設計師,待遇面議,伊普資訊股份有限公司,10人,2年以上,"Git、Java、JSP、Spring、Struts、MS SQL、MySQL、VueJS",電腦軟體服務業,雙北
10/26更新,"Java 軟體工程師","月薪35,000元以上",英科資訊科技股份有限公司,20人,不拘,Java、MySQL、HTML、JavaScript、CSS,網際網路相關業,雙北
10/08更新,"創新科技部 JAVA工程師",待遇面議,華泰大飯店企業股份有限公司,700人,1年以上,Java,旅館業,雙北
10/23更新,Java系統軟體工程師,待遇面議,台北數位集團_台北數位廣告股份有限公司,200人,1年以上,Java、MySQL、JavaScript,多媒體相關業,雙北
10/16更新,Java微服務工程師,待遇面議,精誠微雲科技股份有限公司,暫不提供,1年以上,Java,電腦軟體服務業,雙北
10/18更新,"MoneyMaster | Java軟體工程師 Java Web Engineer",待遇面議,錢管家數位科技股份有限公司,10人,不拘,"Linux、Git、Java、Spring、MS SQL、JavaScript",電腦軟體服務業,雙北
10/13更新,"(IBM Consulting)Application Consultant - SD-Java",待遇面議,IBM_台灣國際商業機器股份有限公司,暫不提供,5年以上,不拘,電腦系統整合服務業,雙北
10/20更新,"資深 Java 系統工程師",待遇面議,艾帝浦杰股份有限公司,60人,2年以上,Java、JavaScript,電腦軟體服務業,雙北
10/20更新,"Java 工程師","月薪30,000~100,000元",風行天股份有限公司,暫不提供,4年以上,Java、JSP、Spring、PL/SQL、Tomcat、AWS、HTML、JavaScript、jQuery、CSS,其它軟體及網路相關業,雙北
10/24更新,"Developer (Java)/工程師 (Java)",待遇面議,奕兆有限公司,暫不提供,不拘,Java,電腦軟體服務業,雙北
10/24更新,"Java 後端工程師 Java Backend Engineer [rezio]","年薪750,000~950,000元",酷遊天股份有限公司,900人,4年以上,Java、Spring,旅遊服務業,雙北
10/19更新,"Back-End Engineer (後端JAVA工程師)","月薪38,000~60,000元",科智企業股份有限公司,18人,不拘,Java,電腦軟體服務業,雙北
10/04更新,培訓軟體工程師(Java),"月薪35,000~50,000元",貴思科技有限公司,暫不提供,不拘,Java,電腦軟體服務業,雙北
10/18更新,Java專案工程師（中山區，捷運站步行６分鐘）,"月薪55,000~76,000元",仁維軟體科技有限公司,35人,4年以上,Git、Java、Spring、DB2、Oracle、HTML、J2EE、JavaScript、jQuery、CSS,電腦系統整合服務業,雙北
10/10更新,"Java 工程師",待遇面議,群和軟體有限公司,暫不提供,1年以上,AJAX、Tomcat、JavaScript,電腦軟體服務業,雙北
10/25更新,【誠品線上】Java工程師,待遇面議,誠品生活股份有限公司,900人,2年以上,Github、Git、Java、Spring、PostgreSQL、HTML、JavaScript、jQuery,百貨相關業,雙北
10/11更新,JAVA軟體工程師,"年薪600,000~800,000元",運籌網通股份有限公司,41人,2年以上,AJAX、Java、JSP、Spring、Struts、Oracle、EJB、J2EE、JavaScript、jQuery,電腦軟體服務業,桃園
10/11更新,"Java 資深工程師",待遇面議,達暉資訊有限公司,50人,3年以上,Java、Spring、Struts、JavaScript、jQuery,電腦系統整合服務業,雙北
10/04更新,Java工程師,待遇面議,翰霖科技資訊股份有限公司,100人,不拘,Java、Spring、Struts、JavaScript、jQuery、Node.js,電腦軟體服務業,雙北
10/25更新,"Senior Java Backend Engineer","年薪1,000,000~2,200,000元",孚特固有限公司,暫不提供,3年以上,"Java、Spring、MS SQL、MySQL",網際網路相關業,雙北
10/26更新,"【中壢過嶺】工程開發一部 設備機構工程師",待遇面議,宏致電子股份有限公司,7000人,2年以上,Excel、PowerPoint、Word、AutoCAD、SolidWorks,其他電子零組件相關業,桃園
10/27更新,短影片剪輯攝影師,"月薪30,000元",摩鐵汽車有限公司,20人,不拘,不拘,汽機車維修業,桃園
09/25更新,"Senior Java 工程師","月薪80,000元以上",格拉墨科技有限公司,40人,3年以上,Java、Spring、MySQL,電腦軟體服務業,雙北
10/17更新,資深Java工程師,"月薪70,000~180,000元",領先創新科技股份有限公司,暫不提供,3年以上,Git、Java、Spring、JDBC、MySQL、Socket,電腦軟體服務業,雙北
10/25更新,"Java engineer","月薪50,000元以上",新堡科技股份有限公司,40人,3年以上,UML、Git、Java、Spring、PostgreSQL、JavaScript、Node.js、VueJS,電腦系統整合服務業,雙北
10/19更新,"知名上市公司Java Engineer[後端工程師]","月薪50,000~65,000元",台灣利優資訊科技有限公司,21000人,2年以上,Java、Spring、MySQL、HTML、JavaScript、jQuery、CSS,人力派遣服務,雙北
10/20更新,"Java 培訓工程師","月薪32,000元",華擎軟體科技有限公司,40人,不拘,Java,電腦系統整合服務業,雙北
10/26更新,JAVA開發工程師,待遇面議,邁爾思國際服務有限公司,暫不提供,不拘,不拘,網際網路相關業,雙北
10/18更新,"後端 Java 軟體工程師","月薪50,000元以上",程豐資通股份有限公司,暫不提供,2年以上,Linux、Git、Java、Spring、MySQL、JavaScript,電腦系統整合服務業,雙北
10/06更新,"Java 工程師","月薪35,000~50,000元",凌發科技有限公司,90人,1年以上,Java、Spring、MySQL、J2EE,其它軟體及網路相關業,台中
09/30更新,"Sr. Java Backend Engineer","年薪1,000,000~2,000,000元",邁得弗科技有限公司,60人,3年以上,"Java、Spring、MS SQL、MySQL",網際網路相關業,雙北
10/16更新,"Pubu 電子書 Java 工程師",待遇面議,湛天創新科技股份有限公司,暫不提供,2年以上,Java、JSP、Spring、J2EE、JavaScript,電腦軟體服務業,雙北
10/21更新,JAVA工程師,"月薪30,000~42,000元",東雷科技股份有限公司,25人,2年以上,AJAX、Java、JSP、Spring、jQuery、HTTP,電腦軟體服務業,雙北
10/19更新,Java系統開發工程師(數位科技處),待遇面議,全球人壽保險股份有限公司_總公司,6000人,不拘,Java、Excel、Outlook、PowerPoint、Word,人身保險業,雙北
10/11更新,"Java Spring資深後端工程師","年薪1,000,000元以上",天空八八科技有限公司,30人,5年以上,Linux、Github、Java、Spring、MySQL、JavaScript、HTTP,電腦軟體服務業,雙北
10/16更新,軟體工程師(Java),待遇面議,科萊博瑞科技有限公司,140人,2年以上,"Linux、Java、MS SQL",電腦軟體服務業,雙北
10/18更新,"Java 工程師 - 帳務系統",待遇面議,炎磊科技有限公司,50人,3年以上,Java,工商顧問服務業,雙北
10/20更新,初階後端工程師(Java),待遇面議,盛威資訊服務股份有限公司,100人,不拘,Java、Spring、MySQL、PostgreSQL、HTML、JavaScript、jQuery、CSS,電腦軟體服務業,雙北
10/25更新,資深JAVA軟體工程師,待遇面議,聖勝科技有限公司,70人,3年以上,Java、Spring、Oracle、RDBMS、Junit,其它軟體及網路相關業,雙北
10/18更新,"Java 工程師 (台中)","月薪40,000~70,000元",達暉資訊有限公司,50人,3年以上,Java、Spring,電腦系統整合服務業,台中
10/06更新,Java程式設計師（R3）,待遇面議,資通電腦股份有限公司,300人,不拘,"Java、Struts、MS SQL、Oracle、JavaScript、Node.js、AngularJS",電腦軟體服務業,雙北
08/09更新,"Backend Java Developer",待遇面議,CATCHPLAY_英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,150人,2年以上,Git、Java、Spring、MySQL、RDBMS,網際網路相關業,雙北
10/24更新,【營運儲備幹部】桃園市大園區(桃園機場),"月薪33,000~45,000元",摩斯漢堡_安心食品服務股份有限公司,5800人,不拘,不拘,其他餐飲業,桃園
10/24更新,生產線組長（日夜輪調）,"月薪34,600元以上",漢磊科技股份有限公司,900人,3年以上,Excel、PowerPoint、Word,半導體製造業,新竹
10/12更新,"Jr. Java Web Engineer","月薪30,000~40,000元",德義資訊股份有限公司,250人,不拘,Java、JSF、JSP、JDBC、Oracle、PL/SQL、J2EE、JavaScript、XML、jQuery,電腦軟體服務業,雙北
10/02更新,後端工程師/JAVA,"月薪40,000~70,000元",博斯資訊安全股份有限公司,25人,3年以上,Linux、Java、Spring、JavaScript,電腦軟體服務業,雙北
10/19更新,"JAVA 軟體設計工程師 (龍潭渴望園區)","月薪40,000~80,000元",天來數位股份有限公司,15人,不拘,Java、Spring、MySQL、Oracle、HTML、JavaScript、jQuery、CSS、Node.js,電腦系統整合服務業,桃園
10/26更新,"JAVA Backend Developer",待遇面議,勝和科技有限公司,50人,3年以上,Java,電腦軟體服務業,雙北
10/12更新,"Java J2EE 軟體工程師","月薪50,000元",德義資訊股份有限公司,250人,1年以上,Java、JSP、Spring、Struts、HTML、J2EE、JavaScript,電腦軟體服務業,雙北
10/26更新,Java程式設計師,"月薪40,000~70,000元",浩園科技股份有限公司,暫不提供,1年以上,Java,電腦軟體服務業,雙北
10/12更新,"Java 軟體工程師",待遇面議,奧米科技有限公司,30人,1年以上,Servlets、AJAX、Java、JSP、Spring、Struts、HTML、JavaScript、jQuery、CSS,電腦軟體服務業,雙北
09/28更新,"Java 工程師","月薪35,000~45,000元",宏韃資訊顧問有限公司,暫不提供,不拘,Java、Spring、MySQL、JavaScript、jQuery,電腦軟體服務業,雙北
10/02更新,Java開發工程師,待遇面議,安達國際人壽保險股份有限公司,1100人,3年以上,Java、Oracle、PL/SQL、JavaScript,人身保險業,雙北
10/04更新,【福利佳】Java工程師,待遇面議,恒利威科技有限公司,暫不提供,3年以上,不拘,電腦系統整合服務業,雙北
09/26更新,Java工程師,"月薪35,000~60,000元",越世資安股份有限公司,16人,不拘,"Servlets、Git、Java、Spring、Struts、MS SQL、MySQL、Oracle、HTML、J2EE、J2SE、JavaScript、jQuery",其它軟體及網路相關業,雙北
10/23更新,資深Java工程師,待遇面議,創樂科技有限公司,80人,5年以上,Git、Java、Spring、MySQL、AWS,電信相關業,雙北
10/20更新,JAVA程式開發人員,待遇面議,三井住友海上集團_明台產物保險股份有限公司_數位暨資訊科技處,1300人,2年以上,Java,產物保險業,雙北
10/20更新,"Senior Backend Engineer (Java)","月薪100,000~150,000元",敏行科技有限公司,7人,3年以上,Linux、Jenkins、Git、Java、JDBC、MySQL、PostgreSQL、AWS、HTTP,電腦軟體服務業,雙北
10/25更新,Java開發工程師,"年薪800,000~2,500,000元",誠帷數位科技有限公司,20人,3年以上,Java、Python、Spring、MySQL,網際網路相關業,雙北
10/09更新,"Senior Java Developer (Fully Remote)","年薪1,500,000元以上","RiskVal Financial Solutions, LLC_愛科國際管理顧問有限公司",30人,不拘,"OOP、Java、MS SQL",電腦軟體服務業,雙北
10/24更新,Java工程師,"月薪45,000~79,998元",騰芯數位有限公司,暫不提供,2年以上,"Java、Spring、MS SQL、MySQL、JavaScript、jQuery",電腦軟體服務業,雙北
09/26更新,JAVA工程師,待遇面議,昕傳科技股份有限公司,40人,2年以上,Java,電腦軟體服務業,雙北
08/02更新,java後端工程師,"月薪50,000~100,000元",星元資訊有限公司,暫不提供,1年以上,Java、MySQL、JavaScript,電腦軟體服務業,雙北
10/02更新,Java軟體工程師,"月薪34,000~80,000元",美克資訊有限公司,暫不提供,不拘,不拘,電腦軟體服務業,雙北
10/18更新,"【研究發展處】Java Engineer/Java 軟體工程師",待遇面議,現觀科技股份有限公司,120人,不拘,Linux、Java,電腦軟體服務業,雙北
10/11更新,"Java Developer (純遠端職缺)",待遇面議,譽翔軟體科技有限公司,暫不提供,1年以上,Java、Spring、PostgreSQL,網際網路相關業,雙北
10/18更新,"Java 軟體工程師","月薪40,000元以上",自然互動科技股份有限公司,33人,不拘,Java、JSP、Spring、JDBC、MySQL、Oracle、Tomcat、HTML、J2EE、JavaScript、jQuery,電腦軟體服務業,雙北
09/15更新,JAVA軟體工程師,"月薪40,000~80,000元",經貿聯網科技股份有限公司,150人,不拘,"Java、JSP、Spring、MS SQL、Oracle、AWS、HTML、JavaScript、CSS",網際網路相關業,雙北
10/20更新,Java程式設計師,"月薪39,000~45,000元",直通國際股份有限公司,140人,不拘,Git、Java、Spring、HTML、JavaScript、jQuery,其它軟體及網路相關業,雙北
08/26更新,JAVA後端工程師,"月薪35,000~75,000元",羲奕研策股份有限公司,30人,1年以上,Git、Java、Spring、MySQL,多媒體相關業,台中
10/20更新,Java軟體工程師(台北),"月薪36,000~50,000元",景佳科技有限公司,40人,不拘,Linux、Servlets、Java、JSP、J2EE、JavaScript、jQuery、CSS,電腦軟體服務業,雙北
10/17更新,"Java 工程師","月薪36,000~50,000元",鈕酷樂股份有限公司,暫不提供,1年以上,不拘,電腦軟體服務業,台中
10/18更新,JAVA軟體工程師,"月薪45,000~75,000元",億力資訊股份有限公司,180人,2年以上,AJAX、Java、Spring、HTML、JavaScript、jQuery、CSS、VueJS、Angular,電腦軟體服務業,雙北
09/27更新,高級JAVA開發工程師,"月薪120,000元以上",迅智科技有限公司,暫不提供,5年以上,Linux、Java、Spring、MySQL、Oracle,電腦軟體服務業,雙北
10/26更新,培訓軟體工程師(Java),"月薪30,000~40,000元",一騰資訊服務股份有限公司,60人,不拘,"Java、Python、MS SQL、JavaScript",電腦軟體服務業,雙北
10/26更新,"java 軟體工程師","年薪900,000~1,100,000元",偉盛資訊股份有限公司,15人,2年以上,不拘,電腦軟體服務業,雙北
10/12更新,Java工程師,"月薪70,000~170,000元",奕特資訊有限公司,90人,2年以上,Java、Spring、MySQL,電腦軟體服務業,雙北
10/03更新,Java軟體工程師,待遇面議,梅科科技股份有限公司,30人,不拘,Java,網際網路相關業,雙北
10/24更新,【資訊科技】Bankee-Java程式設計師(後端),待遇面議,遠東國際商業銀行股份有限公司,2511人,3年以上,Git、Java,銀行業,雙北
10/25更新,R008RGS_JAVA工程師,待遇面議,神通資訊科技股份有限公司,1000人,不拘,不拘,電腦系統整合服務業,雙北
10/11更新,"【113年研發替代役】Java J2EE 軟體工程師",待遇面議,德義資訊股份有限公司,250人,1年以上,Java、JSP、Spring、Struts、HTML、J2EE、JavaScript,電腦軟體服務業,雙北
09/06更新,"Software Engineer (Java Developer)",待遇面議,愛德萬測試股份有限公司,330人,2年以上,"Git、ASP.NET、Java、MS SQL、Oracle、HTML、JavaScript、Excel、Power BI​、Oracle ERP",半導體製造業,新竹
07/28更新,JAVA後端軟體開發工程師,"月薪35,000元以上",華能平方股份有限公司,暫不提供,1年以上,"Java、Spring、MS SQL、HTML、JavaScript、jQuery、CSS",電腦軟體服務業,雙北
10/20更新,"Java 副工程師（配合政府就業旗艦計畫）","月薪36,000~38,000元",華擎軟體科技有限公司,40人,不拘,Java,電腦系統整合服務業,雙北
10/12更新,"Java工程師 (Junior)","月薪55,000~70,000元",奕特資訊有限公司,90人,不拘,Java、Spring、MySQL,電腦軟體服務業,雙北
