職缺更新時間,職缺名稱,工作待遇,公司名稱,員工人數,工作經歷,擅長工具,產業類別,上班地點
10/24更新,"平台軟體&APP開發工程師【Software Engineer】",待遇面議,美商舵盟國際有限公司,18人,不拘,"Linux、Android、iOS、AJAX、C#、Java、PHP、MySQL、HTML、JavaScript、CSS、Adobe Acrobat、Excel、PowerPoint、Word",電腦系統整合服務業,雙北
10/08更新,基礎程式設計工程師（東京都）,"月薪60,000~140,000元",宥倍實業股份有限公司,60人,不拘,"Github、Git、AJAX、ASP.NET、C#、Java、PHP、MS SQL、MySQL、Oracle、PL/SQL、HTML、JavaScript、jQuery、CSS、VueJS",電腦軟體服務業,其他
10/23更新,"遊戲App 軟體研發工程師","月薪30,000~50,000元",上盈通訊股份有限公司,暫不提供,不拘,Github、C++、Java、JavaScript、Unity3D,通訊機械器材相關業,新竹
10/17更新,MIS工程師,"月薪30,000~50,000元",漢田生技股份有限公司,150人,2年以上,"C#、C++、Java、MS SQL、Oracle、鼎新",其他食品製造業,彰化
10/24更新,軟韌體研發經理,"月薪55,000~100,000元",眾陽機械製造股份有限公司,100人,不拘,"Android、MCU、C#、C++、Java、Visual Basic .net",電力機械器材製造修配業,雙北
10/05更新,"Java 開發工程師 / Java Developer",待遇面議,華厚股份有限公司,70人,2年以上,Java,電子通訊/電腦週邊批發業,雙北
10/25更新,70047C2_軟體工程師,"月薪38,000元以上",神通資訊科技股份有限公司,1000人,不拘,Java、MySQL,電腦系統整合服務業,雙北
10/11更新,【資訊板塊】全端開發工程師,待遇面議,國泰世華商業銀行股份有限公司_人力資源部,9000人,不拘,"Git、AJAX、ASP.NET、C#、COBOL、Java、MS SQL、MySQL、Oracle、PL/SQL、PostgreSQL、JavaScript",銀行業,雙北
10/23更新,"中高階獵才_iOS/Android Engineer_多家純軟公司相關職缺_LKH",待遇面議,"Spring Professional_藝珂人事顧問股份有限公司躍科分公司",暫不提供,5年以上,Android、iOS、Java、Objective-C、SWIFT、Kotlin、Flutter、Dart,人力仲介代徵,雙北
10/25更新,MIS程式設計師,"月薪35,000~60,000元",展碁國際股份有限公司,300人,3年以上,"Git、AJAX、Java、Spring、JDBC、MS SQL、HTML、jQuery、CSS",電腦及其週邊設備製造業,雙北
10/19更新,"【總公司】資訊部-Jr.~Sr. SAP ABAP Developer",待遇面議,爭鮮股份有限公司,7000人,3年以上,C#、Java、SAP,餐館業,雙北
10/18更新,"【研究發展處】Java Back-end Web Application Engineer 後端工程師",待遇面議,現觀科技股份有限公司,120人,1年以上,Linux、Java、Spring、MySQL,電腦軟體服務業,雙北
10/20更新,FAE高級工程師/技術主管,待遇面議,同亨科技股份有限公司,500人,1年以上,Android、C++、Java,消費性電子產品製造業,新竹
10/25更新,軟體研發工程師/資深工程師,待遇面議,磐儀科技股份有限公司,220人,2年以上,Linux、Android、C、C++、Java,電腦及其週邊設備製造業,雙北
10/23更新,"5G RAN Intelligent Controller軟體工程師_12687","月薪32,000~62,000元",和碩集團_和碩聯合科技股份有限公司,6000人,不拘,Linux、Shell、Java、Python,電腦及其週邊設備製造業,雙北
10/16更新,"IT軟體工程師(Data Engineer)",待遇面議,GARMIN_台灣國際航電股份有限公司,9000人,1年以上,Java、Python、Scala,電信相關業,雙北
09/22更新,.NET軟體開發工程師,"月薪34,000~50,000元",智崴資訊科技股份有限公司,280人,1年以上,AJAX、C#、Java、JavaScript、jQuery,多媒體相關業,高雄
10/20更新,高級後端軟件開發工程師,"月薪60,000元以上","MeterSquare Limited_香港商團博手機應用有限公司",30人,5年以上,Java、Python、Ruby、MySQL、jQuery、Node.js,綜合商品批發代理業,台中
10/14更新,APP開發工程師,"年薪500,000元以上",致富寶股份有限公司,15人,不拘,Android、iOS、Java、Objective-C,電腦軟體服務業,雙北
10/20更新,廣告與網站數據分析師,"月薪32,000~45,000元",前創國際廣告行銷有限公司,15人,不拘,"Java、Python、Tableau、Power BI​",廣告行銷公關業,台中
10/17更新,內控軟體工程師,待遇面議,亨俐貝爾有限公司,20人,3年以上,Java、Python、PHP、JavaScript、VueJS,醫療器材製造業,雙北
10/27更新,資料工程師,"月薪35,000~50,000元",一卡通票證股份有限公司,200人,不拘,"Java、Python、VBA、DB2、Power BI​",其他金融及輔助業,高雄
10/18更新,"Android App 軟體研發工程師",待遇面議,萊思特科技股份有限公司,20人,2年以上,Android、Git、Java、Kotlin、VoIP,電腦系統整合服務業,雙北
10/10更新,資訊軟體工程師,"月薪40,000元以上",萬潤科技股份有限公司,280人,3年以上,C#、Java、JavaScript,自動控制相關業,高雄
10/09更新,"[RD]iOS手機APP工程師 (iOS APP Engineer)","月薪40,000~100,000元",QuickClick快一點_點點全球股份有限公司,52人,3年以上,"iOS、Git、Java、Kotlin、XML Web services",網際網路相關業,雙北
10/25更新,"ARM based Linux BSP Engineer(新生辦公室)",待遇面議,威強電工業電腦股份有限公司,400人,3年以上,Linux、C、C++、Java,電腦系統整合服務業,雙北
10/10更新,"[SW-501] Android助理工程師(台南)","月薪35,000~45,000元",虹堡科技股份有限公司,500人,不拘,C、C++、Java,電腦及其週邊設備製造業,台南
10/05更新,軟體工程師,待遇面議,雷寶科技股份有限公司,40人,不拘,C#、C++、Java,電腦及其週邊設備製造業,雙北
10/11更新,.Net網頁程式設計師(高雄/可遠端)醫療領域(MCD30),"月薪35,000~55,000元",資拓宏宇國際股份有限公司,1500人,2年以上,不拘,電腦軟體服務業,高雄
10/18更新,ERP工程師,待遇面議,維田科技股份有限公司,126人,3年以上,"ASP.NET、Java、MS SQL、Oracle、JavaScript、CSS",電腦及其週邊設備製造業,雙北
09/25更新,"【可線上面談】Full Stack Developer (System Integration)","月薪50,000~70,000元",新加坡商鈦坦科技股份有限公司台灣分公司,300人,不拘,ASP.NET、C#、Java、VueJS、Angular,電腦軟體服務業,雙北
10/29更新,"【EATING-OUT 外帶平台】Product Developer (開發研究員)",待遇面議,快帶科技有限公司,暫不提供,不拘,C++、Java、Python、Go、Flutter、Dart,電腦軟體服務業,台南
10/11更新,資訊處-大數據應用分析師,待遇面議,永豐商業銀行股份有限公司,暫不提供,3年以上,"Linux、Java、Python、ETL、MS SQL、MySQL",銀行業,雙北
10/19更新,"Android手機App程式設計師 Android App Programmer","月薪50,000~80,000元",尚承科技股份有限公司,暫不提供,3年以上,Java、Kotlin、Flutter、Dart,專門設計相關業,雙北
10/25更新,助理工程師,"月薪30,000元以上",詮源資訊股份有限公司,暫不提供,不拘,"C、C#、C++、Python、Visual C#、JavaScript",電腦系統整合服務業,高雄
09/14更新,"java 程式設計師 (高雄)","月薪28,000~75,000元",商智資訊股份有限公司,90人,不拘,Java、JSP、Spring、Struts,電腦軟體服務業,高雄
10/26更新,系統分析師,"月薪60,000~100,000元",浩園科技股份有限公司,暫不提供,3年以上,"Systems Analysis、C#、Java",電腦軟體服務業,雙北
07/31更新,軟韌體工程師,待遇面議,亞信電子股份有限公司,暫不提供,不拘,"Linux、Windows 2000、Windows 98、Windows NT、C、C++、Visual C++、Assembly",半導體製造業,新竹
09/18更新,軟體助理工程師,"月薪32,000~35,000元",奇蹟行動科技有限公司,暫不提供,不拘,"Java、PHP、Python、ANSI SQL、Data Modeling、MySQL、PostgreSQL、DHTML、HTML、JavaScript、HTTP、Socket",網際網路相關業,雙北
10/24更新,程式設計師,"月薪30,000~50,000元",聖岱實業股份有限公司,290人,不拘,"Linux、Git、Java、PHP、MS SQL、MySQL、PostgreSQL、Tomcat、JavaScript、jQuery、CSS、Node.js、VueJS",金屬手工具製造業,台中
09/22更新,(Android/IOS)開發工程師-網銀領域(TCD22),待遇面議,資拓宏宇國際股份有限公司,1500人,2年以上,Android、iOS、Java、Objective-C、SWIFT、Kotlin,電腦軟體服務業,雙北
10/19更新,【觸控】系統軟、韌體、硬體設計工程師,"月薪40,000元以上",天鈺科技股份有限公司,520人,3年以上,"Linux、Android、C、C#、Java、Python、Visual Studio",IC設計相關業,台南
10/18更新,"Cocos Creator 資深遊戲開發工程師",待遇面議,禾向數位科技有限公司,30人,3年以上,Python、JavaScript、Java,電腦軟體服務業,雙北
09/18更新,"前端軟體工程師 (Frontend開發)",待遇面議,奇蹟行動科技有限公司,暫不提供,不拘,"Java、PHP、Python、ANSI SQL、Data Modeling、MySQL、PostgreSQL、DHTML、HTML、JavaScript、HTTP、Socket",網際網路相關業,雙北
07/17更新,網站後台開發人員兼伺服器維護人員,待遇面議,萬里遊科技股份有限公司,48人,不拘,"Linux、Git、ASP.NET、C#、C++、Java、PHP、Python、MS SQL、MySQL、HTML、JavaScript、jQuery、CSS",網際網路相關業,雙北
10/11更新,Java開發工程師(高雄),待遇面議,康翔科技股份有限公司,30人,3年以上,Java,其它軟體及網路相關業,高雄
10/26更新,"【進階】Java 軟體工程師 / 程式設計師 (台北）",待遇面議,威進國際資訊股份有限公司,88人,2年以上,Java、JavaScript、jQuery,電腦軟體服務業,雙北
10/25更新,Android系統資深研發工程師,待遇面議,瑞相科技股份有限公司,40人,不拘,C、C++、Java,IC設計相關業,雙北
10/19更新,軟體工程師,"月薪40,000~50,000元",金采科技企業有限公司,15人,不拘,AJAX、C#、Java、JSP、Tomcat、JavaScript、jQuery、HTTP,消費性電子產品製造業,雙北
10/26更新,「產品驗證」自動化測試工程師,"月薪30,000~60,000元",普安科技股份有限公司,450人,1年以上,不拘,電腦系統整合服務業,雙北
10/23更新,"軟體工程師 （生技產業）",待遇面議,百昌生物醫藥科技股份有限公司,80人,3年以上,"C#、Java、Visual Studio .net、MySQL、Excel、Visio",其它軟體及網路相關業,雙北
09/05更新,軟體研發工程師(iOS/Android),待遇面議,群燿光學股份有限公司,45人,不拘,不拘,精密儀器相關製造業,苗栗
10/12更新,"P_Senior Android Application Developer",待遇面議,Razer_台灣雷蛇有限公司,暫不提供,5年以上,Android、Java、Kotlin,消費性電子產品製造業,雙北
10/19更新,系統工程師/系統顧問,待遇面議,倍力資訊股份有限公司,87人,2年以上,"MS SQL、Oracle",電腦軟體服務業,雙北
10/12更新,專案管理經理,待遇面議,基嘉科技股份有限公司,暫不提供,2年以上,"中文打字20~50、Excel、PowerPoint、Project、Word、MS SQL、MySQL、Oracle、PostgreSQL、Windows NT、Linux",電腦軟體服務業,雙北
10/25更新,"Battery cell (鋰電池)- 應用系統工程師(高雄)-D事業群【2023AIT004】",待遇面議,鴻海精密工業股份有限公司,暫不提供,2年以上,不拘,消費性電子產品製造業,高雄
10/20更新,【IT工程師】資訊系統管理師,"月薪45,000~60,000元",鎰福電子股份有限公司,250人,3年以上,"ASP.NET、C#、Java、PHP、MS SQL、MySQL、HTML、JavaScript、jQuery、CSS、鼎新",其他電子零組件相關業,雙北
10/06更新,"Golang 後端工程師","月薪60,000~100,000元",澳碼科技有限公司,30人,不拘,Github、Git、C++、Java、Go、MySQL、ReactNative,電腦軟體服務業,雙北
10/23更新,Angular工程師,待遇面議,潤新資訊股份有限公司,暫不提供,1年以上,Git、Java、HTML、jQuery、CSS、Angular,電腦軟體服務業,雙北
10/17更新,系统整合資深工程師_全球智能物流系統開發部(南科),待遇面議,"台達電子工業股份有限公司 _DELTA ELECTRONICS INC.",88000人,不拘,C#、C++、Java,其他電子零組件相關業,台南
09/08更新,助理工程師,"年薪500,000~600,000元",禾多移動多媒體股份有限公司,58人,不拘,C、C++、Java、PHP、Objective-C、HTML、JavaScript,數位內容產業,雙北
10/16更新,JAVA工程師,待遇面議,精誠隨想行動科技股份有限公司,99人,不拘,Linux、Java、Spring,其它軟體及網路相關業,雙北
10/26更新,軟體開發工程師（高雄）,"月薪30,000~60,000元",捷廣系統整合股份有限公司,40人,1年以上,ASP.NET、C#、Java、MySQL、HTML、JavaScript、CSS,電腦系統整合服務業,高雄
10/18更新,後端軟體開發工程師(台北),待遇面議,大云永續科技股份有限公司,70人,不拘,"C#、C++、Java、Python、MS SQL、MySQL",電腦軟體服務業,雙北
04/07更新,資訊軟體工程師,待遇面議,欣竑科技有限公司,60人,不拘,ASP.NET、C#,其他電子零組件相關業,桃園
10/18更新,"TV 平台開發工程師",待遇面議,聯詠科技股份有限公司,2700人,不拘,Linux、Shell、C、C++、Java、Python、DVB數位視頻廣播,半導體製造業,新竹
09/16更新,戴爾美語教育科技公司徵MIS資訊工程師(台中市)(股票代號:7603),待遇面議,戴爾美語教育科技事業股份有限公司附設臺中市私立戴爾語文短期補習班,暫不提供,不拘,AJAX、Java、PHP,補習班,台中
10/26更新,ERP軟體工程師,待遇面議,允強實業股份有限公司,800人,不拘,不拘,鋼鐵基本工業,彰化
10/18更新,"IT Business Analyst (台北或宜蘭工作)",待遇面議,香港商麥迪康亞太有限公司台灣分公司,200人,5年以上,"C、C++、Java、PHP、Visual Basic、HTML、XML、SAP",醫療器材製造業,雙北
10/26更新,軟體工程師,"月薪30,000~40,000元",群銳科技有限公司,暫不提供,不拘,"AJAX、C#、Java、Visual Studio .net、MS SQL、HTML、JavaScript、CSS、Node.js、ReactJS、VueJS、Angular",電腦系統整合服務業,雙北
10/23更新,"PHP Internet 軟體工程師","月薪40,000~45,000元",台北數位集團_台北數位廣告股份有限公司,200人,1年以上,PHP、MySQL、JavaScript,多媒體相關業,雙北
10/02更新,"資料分析師( Digital Marketing Data Analyst）",待遇面議,和泰聯網股份有限公司,暫不提供,2年以上,"Java、Python、R、MS SQL、Excel、Google Analytics、Google Tag Manager、Google Data Studio、Firebase、Power BI​",網際網路相關業,雙北
10/25更新,"DevOps Engineer 運維開發工程師","年薪900,000~2,200,000元",OpenNet_開網有限公司,100人,3年以上,MySQL、AWS,網際網路相關業,雙北
10/27更新,5S元富證券-數位研發科主管,待遇面議,元富證券股份有限公司,1900人,8年以上,不拘,證券及期貨業,雙北
10/02更新,"Software Engineer –SLAM","年薪500,000~2,000,000元",希恩體感科技股份有限公司,60人,不拘,Android、C、C++、Java,電子通訊/電腦週邊批發業,雙北
10/18更新,資訊大園/板橋_Internet程式設計師,"月薪32,000~60,000元",陽程科技股份有限公司,700人,3年以上,不拘,電力機械器材製造修配業,雙北
10/10更新,"[SW-401] 軟體測試工程師",待遇面議,虹堡科技股份有限公司,500人,不拘,C、C++、Java,電腦及其週邊設備製造業,雙北
10/23更新,後端工程師（系統測試，請勿應徵）,"月薪40,000~60,000元",雲敬匯萃股份有限公司,暫不提供,不拘,Java、Spring、MySQL,電腦軟體服務業,雙北
10/25更新,MIS開發主管,待遇面議,東研信超股份有限公司,500人,6年以上,C++、Java,電腦系統整合服務業,雙北
08/30更新,"Senior Backend Engineer (Business Architect) 軟體工程師",待遇面議,恩沛科技股份有限公司,暫不提供,5年以上,Linux、Jenkins、Git、Java、PHP、Python、Ruby、Rails、Go、MySQL、PostgreSQL、AWS、JavaScript、jQuery、Node.js、VueJS,電腦軟體服務業,雙北
10/19更新,研發工程師(JAVA),待遇面議,臺灣網路認證股份有限公司,121人,不拘,Java、Spring、J2EE、JavaScript,網際網路相關業,雙北
10/11更新,【資訊專才】2023資訊經驗人才年中招募計畫,待遇面議,國泰世華商業銀行股份有限公司_人力資源部,9000人,2年以上,"Linux、Github、Git、ASP.NET、C#、Java、Python、MS SQL、Oracle、PostgreSQL、AS/400、Vmware、AWS、HTML、JavaScript、Angular",銀行業,雙北
10/18更新,軟體工程師,"月薪35,000~50,000元",雲康管理顧問有限公司,5人,2年以上,"Android、iOS、Windows Server 2019、ASP.NET、C#、C++.Net、Java、Visual Basic .net、Visual C#、WinForm、Objective-C、SWIFT、Kotlin、Flutter、MS SQL、JavaScript、XML Web services",其它軟體及網路相關業,雙北
10/26更新,Java軟體開發工程師(策略系統),待遇面議,精英電腦股份有限公司,1000人,不拘,不拘,電腦及其週邊設備製造業,雙北
10/18更新,"【Server】Senior Software Engineer, Flutter",待遇面議,未來市股份有限公司,60人,3年以上,Java、Kotlin,電腦軟體服務業,雙北
10/26更新,軟體開發工程師(桃園),"月薪30,000~60,000元",捷廣系統整合股份有限公司,40人,1年以上,ASP.NET、C#、Java、MySQL、HTML、JavaScript、CSS,電腦系統整合服務業,桃園
05/23更新,全端工程師,待遇面議,"PAPAGO＿ 研勤科技股份有限公司",159人,不拘,Python、Go、MySQL、JavaScript,電腦軟體服務業,雙北
10/25更新,助理工程師,"月薪30,000元以上",詮源資訊股份有限公司,暫不提供,不拘,"C、C#、C++、Python、Visual C#、JavaScript",電腦系統整合服務業,雙北
10/23更新,雲端工程師,待遇面議,雙子數位科技有限公司,暫不提供,不拘,"Linux、Mac OS、Java、MS SQL、AWS",電腦軟體服務業,雙北
10/26更新,"遊戲(手遊)部門 PHP程式設計師",待遇面議,奔騰雲創有限公司,暫不提供,3年以上,PHP、MySQL,電腦軟體服務業,雙北
10/12更新,GIS分析師(台中)-TBU(2),待遇面議,崧旭資訊股份有限公司,46人,1年以上,Java、PowerPoint、Word、Figma、GIS,電腦軟體服務業,台中
09/20更新,【科技管理處】跨平台行動應用開發工程師,"月薪35,000~45,000元",逢甲大學_地理資訊系統研究中心,270人,不拘,"Java、SWIFT、Kotlin、MS SQL、MySQL、HTML、JavaScript、CSS",其它軟體及網路相關業,台中
10/20更新,"R-軟韌體設計工程師(System Integration R&D unit)",待遇面議,達擎股份有限公司,496人,不拘,Linux、Android、MCU、C++、Java、Python、JavaScript,光學器材製造業,新竹
10/16更新,"Sr. Software Engineer",待遇面議,荷蘭商瑞力登國際有限公司台灣分公司,150人,3年以上,"Linux、C、C++、Java、Python、JavaScript、Version Control",電腦及其週邊設備製造業,雙北
10/20更新,數位系統開發人員(DS),待遇面議,第一金人壽保險股份有限公司,280人,5年以上,不拘,人身保險業,雙北
10/17更新,資訊工程師,待遇面議,陶作坊_勤貿實業股份有限公司,98人,不拘,"C、C++、Clipper、Delphi、Java、Perl、VBA、DB2、Informix、MS SQL、Oracle、PL/SQL",百貨相關業,雙北
10/19更新,"Asp.Net ,C# 程式設計師",待遇面議,德義資訊股份有限公司,250人,2年以上,ASP.NET、C#,電腦軟體服務業,雙北
10/25更新,"Crypto Backend Engineer (街口金融科技)",待遇面議,街口電子支付股份有限公司,190人,2年以上,OOP、Java、Spring、RDBMS、AWS、e-commerce,網際網路相關業,雙北
10/17更新,"後端工程師（Backend Engineer）",待遇面議,香港商易付達亞洲有限公司台灣分公司,9人,3年以上,"Github、Git、Java、Spring、MS SQL、Oracle、PostgreSQL",網際網路相關業,雙北
10/23更新,"Scala 後端工程師","月薪45,000~99,000元",中華數位科技股份有限公司,110人,不拘,Linux、Git、Java、Scala,網際網路相關業,雙北
10/19更新,前端軟體工程師-VUE,"月薪40,000元以上",翼亞科技有限公司,暫不提供,1年以上,Java、HTML、JavaScript、VueJS,電腦軟體服務業,台中
10/13更新,專案項目經理,"月薪60,000~100,000元",新加坡商海宇顧問服務有限公司台灣分公司,50人,3年以上,"Git、Java、Axure RP",其它軟體及網路相關業,雙北
10/11更新,C#程式設計師-醫療領域(MCD20),待遇面議,資拓宏宇國際股份有限公司,1500人,不拘,"C#、Java、Visual Studio",電腦軟體服務業,雙北
10/12更新,"Sr. Android App/Framework Engineer",待遇面議,新馳科技股份有限公司,40人,3年以上,Linux、Android、Git、C++、Java,電腦軟體服務業,雙北
10/03更新,SRE工程師,待遇面議,天旭國際科技有限公司,暫不提供,不拘,"Linux、Mac OS、ASP.NET、C#、Java、Python、MySQL、Oracle、PostgreSQL、AWS",網際網路相關業,雙北
10/13更新,專案技術經理/專案高級工程師【福利佳】,待遇面議,臺灣網路認證股份有限公司,121人,不拘,"Java、MS SQL、Tomcat、HTML、JavaScript、IIS",網際網路相關業,雙北
10/25更新,"Android APP資深研發工程師",待遇面議,瑞相科技股份有限公司,40人,3年以上,C++、Java、Kotlin,IC設計相關業,雙北
10/25更新,Golang開發工程師,"月薪60,000~150,000元",眾鼎科技有限公司,暫不提供,2年以上,Linux、Go、TCP/IP,人力派遣服務,雙北
09/22更新,"軟體專案經理PM(Project Manager)","月薪45,000~70,000元",晶新資訊股份有限公司,11人,2年以上,"Linux、AJAX、ASP.NET、C#、Java、PHP、MS SQL、MySQL、HTML、JavaScript、jQuery、CSS、Excel、PowerPoint、Word、中文打字50~75",其它軟體及網路相關業,高雄
09/28更新,資訊ERP工程師,待遇面議,科際精密股份有限公司,589人,4年以上,"Oracle、JavaScript、Excel、Oracle ERP、鼎新",其他電子零組件相關業,雙北
10/20更新,視訊及VoIP研發工程師,待遇面議,樂倍達數位科技股份有限公司,暫不提供,1年以上,Linux、Git、AJAX、C、C++、CGI、Java、PHP、Python、MySQL、JavaScript、XHTML、XML、jQuery、CSS、Node.js、ReactJS、VoIP,電腦軟體服務業,雙北
10/24更新,"雲端工程師 Cloud Engineer_AIC",待遇面議,宏碁股份有限公司,7500人,不拘,Java、Python、AWS、JavaScript,電腦及其週邊設備製造業,雙北
09/25更新,"(Taipei) Senior Software Engineer (Expanding)",待遇面議,國巨股份有限公司,40000人,不拘,"Linux、Java、Spring、Kotlin、MS SQL",半導體製造業,雙北
10/13更新,"微服務開發工程師(數數發中心, DDT)",待遇面議,國泰金控_國泰金融控股股份有限公司,400人,1年以上,Jenkins、Git、Java、Spring、PostgreSQL,金融控股業,雙北
10/26更新,"MIS工程師(中壢 / 無經驗可)","月薪30,000元以上",立榮電子企業股份有限公司,170人,不拘,"Windows 10、Visual Basic、MS SQL、Oracle、Excel、Outlook、Word、MES、鼎新、鼎基 ERP",其他電子零組件相關業,桃園
10/11更新,"ERP 工程師",待遇面議,網家跨境服務股份有限公司,70人,3年以上,"ASP.NET、Delphi、Java、MS SQL、MySQL、Oracle",其它軟體及網路相關業,雙北
10/17更新,研發應用軟體工程師,"月薪35,000~60,000元",QSAN_廣盛科技股份有限公司,85人,不拘,不拘,電腦系統整合服務業,雙北
10/19更新,"雲端數據分析師 Data Analyst／Data Scientist","月薪35,000~50,000元",瀚荃股份有限公司,2500人,1年以上,"MS SQL、MySQL、Oracle",其他電子零組件相關業,雙北
09/26更新,嵌入式系統工程師,待遇面議,立普思股份有限公司,64人,不拘,Linux、C、C++、Java,電腦軟體服務業,雙北
10/23更新,"Android App軟體設計師","月薪40,000元以上",麗輝物聯股份有限公司,15人,不拘,Android、Java、Kotlin,電腦系統整合服務業,雙北
10/11更新,軟體工程師,待遇面議,起而行綠能股份有限公司,80人,1年以上,Java、PHP、Node.js、VueJS,電池製造業,雙北
10/10更新,"[SW-601] 嵌入式應用工程師",待遇面議,虹堡科技股份有限公司,500人,不拘,C、C++、Java,電腦及其週邊設備製造業,雙北
06/05更新,"IT Operation",待遇面議,新加坡商齊舵管理顧問有限公司台灣分公司,暫不提供,3年以上,不拘,工商顧問服務業,雙北
10/24更新,"Embedded Software/Firmware Engineer",待遇面議,慧通智聯股份有限公司,暫不提供,不拘,Linux、Android、Git、C、Java、Python、ARM、Firmware,消費性電子產品製造業,雙北
08/31更新,Golang開發工程師,"月薪40,000~120,000元",宙立科技有限公司,暫不提供,不拘,Linux、Git、Java、PHP、Python、Spring、Go、MySQL、AWS、HTML、JavaScript、jQuery、Node.js,電腦軟體服務業,雙北
09/28更新,"Java 講師",待遇面議,万十科技股份有限公司,6人,1年以上,Git、Java、Spring、MySQL、HTML、jQuery、CSS,其它軟體及網路相關業,台南
10/13更新,AI演算法工程師,待遇面議,大立光電股份有限公司,8000人,不拘,C、C++、Java、Python,光學器材製造業,台中
10/27更新,"Senior Software Engineer (Back-end & Front-end)",待遇面議,美商齊闊有限公司台灣分公司,30人,5年以上,Linux、Shell、C、C++、Java、JavaScript、Node.js,其他電子零組件相關業,雙北
10/07更新,系統軟體開發工程師,待遇面議,繽紛科技股份有限公司,暫不提供,不拘,"Android、ASP.NET、C#、Java、Kotlin、MS SQL、JavaScript",數位內容產業,雙北
10/27更新,TN-MES工程師,"月薪42,000~78,000元",家登精密工業股份有限公司,600人,3年以上,"ASP.NET、C#、Java、MS SQL、SPC",半導體製造業,台南
10/25更新,"Backend Engineer",待遇面議,街口電子支付股份有限公司,190人,1年以上,"ASP.NET、C#、Java、Spring、MS SQL",網際網路相關業,雙北
10/25更新,"【總公司-資訊室】軟體工程師 (寶島眼鏡)","月薪35,000~70,000元",寶島光學科技股份有限公司,2000人,不拘,"Java、JSP、MS SQL、JavaScript、jQuery",光學器材製造業,雙北
09/25更新,【空間資訊與環境規劃處】工程師,"月薪40,000~50,000元",逢甲大學_地理資訊系統研究中心,270人,3年以上,"Linux、ASP.NET、C#、Java、MS SQL、JavaScript",其它軟體及網路相關業,台中
10/21更新,電機工程師/電子工程師/資訊工程師/機械工程師/化學工程師,"月薪45,000~90,000元",氫豐綠能科技股份有限公司,22人,1年以上,Linux、C#、C++、Java、Drivers、DSP、FPGA、PowerPCB,其他電子零組件相關業,台南
10/25更新,軟體設計工程師(BU3台中),"月薪33,000~50,000元",偉盟系統股份有限公司,120人,不拘,不拘,電腦系統整合服務業,雙北
10/26更新,"Flutter 程式設計師",待遇面議,干城數碼有限公司,暫不提供,1年以上,Flutter、Dart、Node.js,電腦軟體服務業,雙北
10/12更新,資深軟體研發工程師,待遇面議,必礦科技股份有限公司,150人,5年以上,不拘,工商顧問服務業,雙北
10/17更新,軟體程式設計師,"月薪35,000元以上",北祥科技服務股份有限公司,200人,不拘,"Git、ASP.NET、C#、Java、JSP、Visual Studio .net、DB2、MS SQL、Oracle、HTML、jQuery、CSS、ReactJS、AngularJS",電腦系統整合服務業,雙北
09/25更新,【全球智慧製造】IT軟體工程師(商業智慧與流程管理)_林口,待遇面議,GARMIN_台灣國際航電股份有限公司,9000人,3年以上,"ASP.NET、C++.Net、Java、Visual Basic .net、MS SQL、Oracle",電信相關業,桃園
10/02更新,"Android Developer 開發工程師",待遇面議,foodomo_專聯科技股份有限公司,60人,3年以上,Android、Java、Kotlin,其它軟體及網路相關業,雙北
05/17更新,"RD20338 深度學習研究工程師",待遇面議,華碩電腦股份有限公司,暫不提供,不拘,Linux、Java、Python,電腦及其週邊設備製造業,雙北
06/05更新,"Java Developer",待遇面議,新加坡商齊舵管理顧問有限公司台灣分公司,暫不提供,3年以上,不拘,工商顧問服務業,雙北
10/06更新,".net 開發工程師","月薪30,000~45,000元",耀瑄科技股份有限公司,65人,不拘,"OOP、Github、ASP.NET、C#、Java、Visual C#、Visual Studio .net、WinForm、MS SQL、MySQL、Oracle、PL/SQL、RDBMS、DHTML、HTML、JavaScript、XML、CSS、ReactNative",電腦軟體服務業,高雄
10/25更新,系統開發工程師,"月薪43,000~48,000元",旭光箔膜科技股份有限公司,115人,1年以上,ASP.NET、C#、Java、PHP、Ruby、HTML、CSS,化學原料製造業,台中
10/23更新,"獵才 <松山區-年薪70萬~100萬>上市公司程式設計師-101AN","年薪700,000~1,000,000元",菁華人力資源管理顧問股份有限公司,暫不提供,5年以上,不拘,人力仲介代徵,雙北
10/18更新,"UI/UX 設計師(研發處 平台發展部)","月薪42,000~48,000元",55688集團_台灣智慧生活網股份有限公司,140人,不拘,"Android、iOS、Java、Illustrator、Figma、Adobe Photoshop",數位內容產業,雙北
10/23更新,JavaWeb工程師,待遇面議,勤美股份有限公司,300人,2年以上,"Java、Spring、MS SQL、MySQL、VueJS",其他金屬相關製造業,雙北
10/19更新,Java開發工程師,"月薪35,000~60,000元",遠通電收子公司_遠創智慧股份有限公司,100人,1年以上,Java、PL/SQL、JavaScript,其他電子零組件相關業,雙北
10/17更新,軟體設計資深工程師_工業設備產品部(中壢),待遇面議,"台達電子工業股份有限公司 _DELTA ELECTRONICS INC.",88000人,不拘,MCU、C、C++、Java、DSP、FPGA、PLC、Verilog,其他電子零組件相關業,桃園
10/11更新,TE工程師,"月薪30,000~50,000元",三希科技集團-3CEMS_英屬維京群島商廣仁科技股份有限公司台北分公司,4500人,3年以上,Excel、PowerPoint,電腦及其週邊設備製造業,桃園
